,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,test_r2_with_best_hyp,model_name,seed
16,0.06881537437438964,0.0027470109963876783,0.00378875732421875,0.00039770904400033934,0.4,1,100,"{'learning_rate': 0.4, 'max_depth': 1, 'n_estimators': 100}",0.9002471095104277,0.9063755167031995,0.38969268076852337,0.9360628020107105,0.9414573409950537,0.8147670899975828,0.21314326656566113,4,0.8895902560522445,Catboost,0
17,0.09465789794921875,0.004414853251288724,0.006182479858398438,0.0015956412832827862,0.4,1,150,"{'learning_rate': 0.4, 'max_depth': 1, 'n_estimators': 150}",0.9132975682752277,0.9196649603592716,0.4230023214425238,0.9395139401940951,0.9466492087813406,0.8284255998104918,0.2030829129564256,2,0.8895902560522445,Catboost,0
18,0.07549452781677246,0.004215493170362004,0.005486583709716797,0.0007728305139460437,0.4,3,50,"{'learning_rate': 0.4, 'max_depth': 3, 'n_estimators': 50}",0.9099472751095041,0.8490323843003591,0.2574623520071061,0.9400989434950995,0.8586975800354959,0.763047706989513,0.25498448485374414,23,0.8895902560522445,Catboost,0
19,0.10010819435119629,0.004408012684927708,0.005594015121459961,0.001020950192249486,0.4,3,100,"{'learning_rate': 0.4, 'max_depth': 3, 'n_estimators': 100}",0.9146810369744462,0.8500305776276522,0.27574395918748085,0.9374497161940536,0.8566550032422161,0.7669120586451698,0.24784162274581992,20,0.8895902560522445,Catboost,0
20,0.16205358505249023,0.029054034114581597,0.008176231384277343,0.002705023098170598,0.4,3,150,"{'learning_rate': 0.4, 'max_depth': 3, 'n_estimators': 150}",0.9141649678285012,0.8509258572722415,0.2812164947152116,0.9380960168441019,0.8564976978676604,0.7681802069055432,0.24574922654749062,19,0.8895902560522445,Catboost,0
21,0.0972318172454834,0.007677308250026486,0.005582427978515625,0.001016229592448747,0.4,5,50,"{'learning_rate': 0.4, 'max_depth': 5, 'n_estimators': 50}",0.8308888312904432,0.7968102715674772,0.45450925370434814,0.94796187170284,0.8177740635432219,0.7695888583616661,0.16607985740348005,18,0.8895902560522445,Catboost,0
22,0.11688628196716308,0.013695207048039549,0.004388332366943359,0.0011972189459990153,0.4,5,100,"{'learning_rate': 0.4, 'max_depth': 5, 'n_estimators': 100}",0.8305684691239212,0.7976998744364574,0.4546899154588686,0.948384741333683,0.8192604126647366,0.7701206826035334,0.16619500791797415,17,0.8895902560522445,Catboost,0
23,0.14580860137939453,0.004653722941148221,0.004189300537109375,0.0009761046289894436,0.4,5,150,"{'learning_rate': 0.4, 'max_depth': 5, 'n_estimators': 150}",0.8305213388575718,0.7978224201027687,0.4550012622032973,0.9483587453342335,0.819152901119957,0.7701713335235656,0.16606554566244774,16,0.8895902560522445,Catboost,0
24,0.09095621109008789,0.004942819810796947,0.005385637283325195,0.0004886169695078363,0.4,7,50,"{'learning_rate': 0.4, 'max_depth': 7, 'n_estimators': 50}",0.8738253742704037,0.8569245015146262,0.23952224938800237,0.8767264328929549,0.7870028177616096,0.7268002751655194,0.24580104448978043,30,0.8895902560522445,Catboost,0
25,0.21269288063049316,0.05791120483375137,0.006183767318725586,0.0023087631287305246,0.4,7,100,"{'learning_rate': 0.4, 'max_depth': 7, 'n_estimators': 100}",0.8739691997752372,0.8577892759717418,0.23877842977580777,0.8777726373053465,0.7867003146682978,0.7270019714992861,0.2463179237229931,28,0.8895902560522445,Catboost,0
26,0.3083980560302734,0.04603589056191818,0.006582927703857422,0.0007996922577416763,0.4,7,150,"{'learning_rate': 0.4, 'max_depth': 7, 'n_estimators': 150}",0.8739719702764616,0.8577601042682521,0.2388116184208866,0.8777874482601036,0.7866657216936166,0.7269993725838642,0.24630213710809273,29,0.8895902560522445,Catboost,0
27,0.13741049766540528,0.013025117096236884,0.004387760162353515,0.0004888896439441083,0.4,9,50,"{'learning_rate': 0.4, 'max_depth': 9, 'n_estimators': 50}",0.75678200317809,0.910360213332009,0.05490240632931531,0.8740609043779433,0.8159284028193903,0.6824067860073495,0.31806147447242933,42,0.8895902560522445,Catboost,0
28,0.29792284965515137,0.07420469616595032,0.005185270309448242,0.0013235064417992347,0.4,9,100,"{'learning_rate': 0.4, 'max_depth': 9, 'n_estimators': 100}",0.7567929273560077,0.9109338890368943,0.05602764031562846,0.8745754655587189,0.816953976183121,0.6830567796900742,0.3178485187403217,41,0.8895902560522445,Catboost,0
29,0.4298251628875732,0.06919144196965471,0.004788589477539062,0.000399806002706208,0.4,9,150,"{'learning_rate': 0.4, 'max_depth': 9, 'n_estimators': 150}",0.7567950707271647,0.9109369166165581,0.05605239132033346,0.8745762920209521,0.8169576608931501,0.6830636663156318,0.3178396969413688,40,0.8895902560522445,Catboost,0
30,0.06384882926940919,0.01487908233885645,0.0061838626861572266,0.00039804102810918167,0.6000000000000001,1,50,"{'learning_rate': 0.6000000000000001, 'max_depth': 1, 'n_estimators': 50}",0.8713637179977569,0.9336423129075597,0.3007384838846465,0.9693382046725314,0.912577537008906,0.7975320512942801,0.2504131726032735,7,0.8895902560522445,Catboost,0
31,0.09295120239257812,0.02241142574793397,0.0071808815002441405,0.0019337923595317123,0.6000000000000001,1,100,"{'learning_rate': 0.6000000000000001, 'max_depth': 1, 'n_estimators': 100}",0.8889305381347093,0.9478825278106623,0.3873330108071692,0.9762343958728819,0.9256803396321802,0.8252121624515206,0.2207930121156042,3,0.8895902560522445,Catboost,0
32,0.11152043342590331,0.008726036788720914,0.006797075271606445,0.0022064127914077298,0.6000000000000001,1,150,"{'learning_rate': 0.6000000000000001, 'max_depth': 1, 'n_estimators': 150}",0.9031744046169669,0.9364578627351027,0.4149490088926421,0.9769876574162968,0.9300684033988706,0.8323274674119758,0.2100224114313205,1,0.8895902560522445,Catboost,0
33,0.06883745193481446,0.0022800542128525786,0.004390048980712891,0.0010185996373217293,0.6000000000000001,3,50,"{'learning_rate': 0.6000000000000001, 'max_depth': 3, 'n_estimators': 50}",0.8481033288942792,0.9373370612042795,0.3224874192082645,0.9252473548128283,0.7743159456429447,0.7614982219525193,0.22721280748103184,24,0.8895902560522445,Catboost,0
34,0.10260100364685058,0.0038753444865146807,0.004868459701538086,0.0008020043280082245,0.6000000000000001,3,100,"{'learning_rate': 0.6000000000000001, 'max_depth': 3, 'n_estimators': 100}",0.8474299519904619,0.9368822373869765,0.31847590384975544,0.9235410011313312,0.7773675852370698,0.760739335919119,0.22843791667294028,26,0.8895902560522445,Catboost,0
35,0.12028059959411622,0.006546207229203671,0.004188680648803711,0.0009775934258616067,0.6000000000000001,3,150,"{'learning_rate': 0.6000000000000001, 'max_depth': 3, 'n_estimators': 150}",0.8474239688798982,0.9369192096073684,0.320589635546488,0.9232625651512593,0.7777023879948639,0.7611795534359755,0.22758994197500287,25,0.8895902560522445,Catboost,0
36,0.08417868614196777,0.0055909955521268855,0.005184793472290039,0.0013218537246999678,0.6000000000000001,5,50,"{'learning_rate': 0.6000000000000001, 'max_depth': 5, 'n_estimators': 50}",0.7745333862345,0.8630370079598321,0.23846222446785703,0.9029543352908627,0.7802055992460109,0.7118385106398124,0.24169239068045031,33,0.8895902560522445,Catboost,0
37,0.1250643253326416,0.01576323917373539,0.005584621429443359,0.000488832156453754,0.6000000000000001,5,100,"{'learning_rate': 0.6000000000000001, 'max_depth': 5, 'n_estimators': 100}",0.7741554219507373,0.8632517000105059,0.23898192951655461,0.9024851917880651,0.780274118000938,0.7118296722533601,0.24142588372395346,35,0.8895902560522445,Catboost,0
38,0.1449831485748291,0.005891111128871664,0.00478668212890625,0.00040004268662492806,0.6000000000000001,5,150,"{'learning_rate': 0.6000000000000001, 'max_depth': 5, 'n_estimators': 150}",0.7741515965477987,0.8632726182755734,0.23898701252294974,0.9024768923027053,0.7802720053612271,0.7118320250020508,0.24142488871476858,34,0.8895902560522445,Catboost,0
39,0.0952444076538086,0.0008284712791618464,0.005185651779174805,0.0003995683250167811,0.6000000000000001,7,50,"{'learning_rate': 0.6000000000000001, 'max_depth': 7, 'n_estimators': 50}",0.8582810235673529,0.8319562134615431,0.24620708000376457,0.8061574049533845,0.8005013086615502,0.708620606129519,0.23211707061320005,39,0.8895902560522445,Catboost,0
40,0.1513312816619873,0.0037521596310969045,0.005186033248901367,0.00039854115291887416,0.6000000000000001,7,100,"{'learning_rate': 0.6000000000000001, 'max_depth': 7, 'n_estimators': 100}",0.858280071197613,0.8317226262099289,0.2471404328124338,0.8062808950592455,0.800582673671476,0.7088013397901394,0.2317370940416149,37,0.8895902560522445,Catboost,0
41,0.20709004402160644,0.007328557560927263,0.004787015914916992,0.00039866171301306983,0.6000000000000001,7,150,"{'learning_rate': 0.6000000000000001, 'max_depth': 7, 'n_estimators': 150}",0.8582785580412586,0.8317211582367019,0.2471428546773683,0.8062803341660678,0.8005834290010927,0.7088012668244978,0.23173579078946366,38,0.8895902560522445,Catboost,0
42,0.14546055793762208,0.011872809752938428,0.00518488883972168,0.0003974439000825725,0.6000000000000001,9,50,"{'learning_rate': 0.6000000000000001, 'max_depth': 9, 'n_estimators': 50}",0.7635540706430438,0.8987023183958405,0.018526241898739082,0.8325759052628483,0.7891091610688306,0.6604935394538605,0.3242348609665762,45,0.8895902560522445,Catboost,0
43,0.3119086265563965,0.02314041112334067,0.006981992721557617,0.0035112640878622193,0.6000000000000001,9,100,"{'learning_rate': 0.6000000000000001, 'max_depth': 9, 'n_estimators': 100}",0.763571551097603,0.8987461132533379,0.018574352136381367,0.8325918355589572,0.7892101402879391,0.6605387984668438,0.32423305971584754,43,0.8895902560522445,Catboost,0
44,0.4434401512145996,0.023010028016877435,0.00478668212890625,0.0009761554900827456,0.6000000000000001,9,150,"{'learning_rate': 0.6000000000000001, 'max_depth': 9, 'n_estimators': 150}",0.7635713979885346,0.8987461442689788,0.018574080344186283,0.8325918143839719,0.7892100548904644,0.6605386983752272,0.3242331531439562,44,0.8895902560522445,Catboost,0
