,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,test_r2_with_best_hyp,model_name,seed
10,0.006981054941813151,0.002153873059464133,0.002992868423461914,0.000814880058232179,0.2,7,100,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100}",-0.2668997013241401,-0.005174151416757811,-0.17712761906280372,-0.14973382393456722,0.10859061002138953,16,0.6802537904386152,Light GBM,0
11,0.008642911911010742,0.004485311426958465,0.002991835276285807,4.899036091938795e-07,0.2,7,150,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 150}",-0.2668997013241401,-0.005174151416757811,-0.17712761956642575,-0.1497338241024412,0.10859061006373856,21,0.6802537904386152,Light GBM,0
12,0.005650917689005534,0.0016945313248555285,0.002995649973551432,0.0008171203648407482,0.2,9,50,"{'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 50}",-0.2668997013241401,-0.005174151416757811,-0.17712579795881656,-0.14973321689990482,0.10859045689004229,1,0.6802537904386152,Light GBM,0
13,0.00831135114034017,0.004016471884695065,0.0029914379119873047,0.0008147828812263627,0.2,9,100,"{'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 100}",-0.2668997013241401,-0.005174151416757811,-0.17712761906280372,-0.14973382393456722,0.10859061002138953,16,0.6802537904386152,Light GBM,0
14,0.009972969690958658,0.004952897502212425,0.0026601155598958335,0.0004695722496142233,0.2,9,150,"{'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 150}",-0.2668997013241401,-0.005174151416757811,-0.17712761956642575,-0.1497338241024412,0.10859061006373856,21,0.6802537904386152,Light GBM,0
15,0.00665132204691569,0.001242138073673291,0.0019921461741129556,2.08152148782552e-06,0.4,1,50,"{'learning_rate': 0.4, 'max_depth': 1, 'n_estimators': 50}",-0.2668997013241401,-0.005174151416757811,-0.17712761883533723,-0.14973382385874504,0.10859061000226213,11,0.6802537904386152,Light GBM,0
16,0.008312543233235678,0.003289758282123857,0.002990086873372396,2.063235439578242e-06,0.4,1,100,"{'learning_rate': 0.4, 'max_depth': 1, 'n_estimators': 100}",-0.2668997013241401,-0.005174151416757811,-0.1771276205402732,-0.14973382442705704,0.10859061014562832,41,0.6802537904386152,Light GBM,0
17,0.0106355349222819,0.0058913548475677405,0.0030861695607503257,0.0008227067669824012,0.4,1,150,"{'learning_rate': 0.4, 'max_depth': 1, 'n_estimators': 150}",-0.2668997013241401,-0.005174151416757811,-0.17712761861630222,-0.14973382378573338,0.10859060998384372,6,0.6802537904386152,Light GBM,0
18,0.006314436594645183,0.0016953118540807,0.002991835276285807,0.0008143934368166775,0.4,3,50,"{'learning_rate': 0.4, 'max_depth': 3, 'n_estimators': 50}",-0.2668997013241401,-0.005174151416757811,-0.17712761883533723,-0.14973382385874504,0.10859061000226213,11,0.6802537904386152,Light GBM,0
19,0.006649414698282878,0.0012429019820102752,0.002085526784261068,0.00013059917966949224,0.4,3,100,"{'learning_rate': 0.4, 'max_depth': 3, 'n_estimators': 100}",-0.2668997013241401,-0.005174151416757811,-0.1771276205402732,-0.14973382442705704,0.10859061014562832,41,0.6802537904386152,Light GBM,0
